宿舍名稱或地址,房間坪數,價格,房型,電費,房東性別,租客性別,住宿品質,與靜宜距離
巨星,5,8000,雙人房,5,女,無限制,5,400
國王社區,5,7000,雙人房,5,女,無限制,4,350
國王,5,8000,雙人房,5,女,無限制,4,350
藍天鵝,33,28000,雙人房,2,女,無限制,5,1900
晉武路73號,20,4250,單人房單人床,5,男,無限制,4,750
明寶學苑,18,5000,單人房單人床,5,男,無限制,4,900
晉武路35巷,17,15000,雙人房,5,女,無限制,5,650
晉武路35巷,15,13500,雙人房,5,女,無限制,5,650
北勢東路222-2號,15,12500,雙人房,5,男,無限制,5,1600
大學之道,15,4000,單人房雙人床,4,男,無限制,4,350
大學之道,15,4000,單人房雙人床,4,男,無限制,4,350
大學之道,15,4000,雙人房,4,男,僅限女性,2,350
北勢東路530號,13,10000,雙人房,5,物業,無限制,5,300
晉武路35巷,13,12000,雙人房,5,女,無限制,5,650
北勢東路680巷22號,13,14000,雙人房,5,女,無限制,5,750
平等路115號,13,13000,雙人房,5,男,無限制,5,1400
平等路115號,13,13000,雙人房,5,男,無限制,5,1400
北勢東路530號,13,9500,雙人房,5,男,無限制,3,300
沙鹿區自強路,12,7499,單人房雙人床,4,男,無限制,5,3600
沙鹿區北勢東路513號,12,6000,單人房雙人床,5,女,無限制,4,400
平等路115號,11,10000,雙人房,5,男,無限制,5,1400
沙鹿區六路九街32號,11,8000,單人房雙人床,5,男,無限制,5,2100
東英路56巷11號,11,11800,雙人房,5,男,無限制,4,600
沙鹿區明秀二街,11,7200,單人房雙人床,4,男,無限制,4,1800
東晉路三和巷30-8號,10,3500,可單可雙,4,男女,無限制,5,600
東英路39巷11號,10,6500,雙人房,5,女,無限制,5,700
北勢東路680巷22號,10,11000,雙人房,5,女,無限制,5,750
路易莎隔壁,10,7500,單人房雙人床,5,男,僅限女性,5,1000
沙鹿區六路一街47號,10,6000,單人房雙人床,5,女,無限制,5,1300
六路十一街11號,10,8000,雙人房,5,男,無限制,5,1700
明秀一街,10,8000,雙人房,5,女,無限制,5,2000
明秀一街37號,10,8000,雙人房,5,男,無限制,5,2100
北勢東路530號,10,9000,雙人房,5,物業,無限制,4,300
國王商圈,10,8000,雙人房單人床,5,物業,無限制,4,350
國王商圈,10,8000,雙人房單人床,5,物業,無限制,4,350
國王商圈,10,20500,雙人房單人床,5,物業,無限制,4,350
國王商圈,10,20500,雙人房單人床,5,物業,無限制,4,350
台中市沙鹿區北势里北势東路606號,10,5000,單人房雙人床,5,女,無限制,4,550
北勢東路680巷22號,10,5800,單人房單人床,5,女,無限制,4,1100
沙鹿區中山路紅竹巷,10,5900,單人房雙人床,5,男,無限制,4,1300
沙鹿區平等路115號,10,6500,雙人房,5,男,無限制,4,1400
沙鹿區明秀一街37號,10,6800,單人房單人床,4,男,無限制,4,2100
國王,10,8000,雙人房,4.5,女,無限制,3,350
台中市沙鹿區東晉東路170號,10,5000,單人房單人床,5,男,無限制,3,850
原典租屋,10,6000,雙人房,5,男,僅限女性,3,1300
沙鹿區六路一街47號,10,6000,單人房雙人床,5,女,無限制,3,1300
台中市沙鹿區六路里六路十一街,10,7000,單人房雙人床,5,女,無限制,3,1800
沙鹿區明秀二街,10,6800,單人房雙人床,5,女,無限制,3,1800
鎮南路一段臨近全聯及超商路口處,10,4000,單人房雙人床,5,男,無限制,3,1800
沙鹿區明秀一街,10,6800,單人房雙人床,5,女,無限制,3,2100
晉武路73號,10,4250,單人房單人床,5,男,無限制,2,750
晉文路,9,5000,單人房單人床,4,女,無限制,5,350
東晉路三和巷30-8號,9,3500,可單可雙,4,男女,無限制,5,600
平等路115號,9,8000,雙人房,5,男,無限制,5,1400
南陽路,9,6000,雙人房,5,女,無限制,5,1500
國王商圈,9,7500,雙人房單人床,5,物業,無限制,4,350
御書苑,9,4000,單人房雙人床,5,男,僅限女性,4,400
東英路39巷1號,9,6200,雙人房,5,女,無限制,4,600
圓宿,9,5000,雙人房,3,男,無限制,4,700
致富一號讚,9,6000,單人房雙人床,5,男,無限制,4,700
大學聯盟,9,5000,單人房單人床,5,男,無限制,4,750
沙鹿區北勢東路834號,9,6000,單人房單人床,4,女,無限制,4,1100
沙鹿區北勢東路834號,9,6000,單人房雙人床,5,男,無限制,4,1100
馬卡龍,9,8000,雙人房,5,女,無限制,4,1700
